Id,Designator,Package,Quantity,Designation,Supplier and ref,Vendor Part Number,Vendor Quantity
Control Board,,,,,,,
1,D4,SOD-523-2,1,D,Mouser,865-XBS053V15R-G,1
2,F1,MRF2,1,FUSE,Mouser,530-MRF2,1
3,L1,SRU1048-151Y,1,150u,Mouser,652-SRU1048-151Y,1
4,Q1,to263,1,IPB50R199CP,Mouser,512-FDB33N25TM,1
5,"R18,R8,R9",R_0805_HandSoldering,3,330,Mouser,588-AS08J1003ET,4
6,U2,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MCP7940N,Mouser,579-MCP7940N-I/SN,1
7,D6,SOT-323,1,D_Schottky_x2_ACom_KKA,Mouser,863-MMBD717LT1G,1
8,"C1,C3,C9,C10,C11,C12,C13,C17,C24,C25",C_0805_HandSoldering,10,0.1uF,Mouser,710-885012207072,10
9,C2,TantalC_SizeD_EIA-7343_HandSoldering,1,68uF,Mouser,80-T495D686K20ATE150,1
10,"C4,C16",C_0805_HandSoldering,2,100pF,Mouser,81-GRM21A5C2E101JW1D,2
11,"C5,C6,C7,C8",C_Radial_D12.5_L25_P5,4,47uF,Mouser,647-UVR2E470MHD,4
12,"C18,C19",C_0805_HandSoldering,2,0.1u,Mouser,710-885012207072,2
13,"C20,C21",C_Radial_D6.3_L11.2_P2.5,2,22uF,Mouser,647-RNS1D220MDS1JT,2
14,"C22,C23",C_0805_HandSoldering,2,10uF,Mouser,81-GRM21BR61E106KA3L,2
15,D1,DO-214AA-2,1,D,Mouser,821-ES2F,1
16,IC1,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA168A-A,Mouser,556-ATMEGA48A-AU,1
17,L2,ind_2518,1,LBR2518T2R2M,Mouser,963-LBR2518T2R2M,1
18,P2,Pin_Header_Straight_2x06,1,CONN_02X06,Mouser,NA,0
19,"R1,R2,R10,R13,R15,R16",R_0805_HandSoldering,6,10k,Mouser,71-CRCW0805-10K-E3,6
20,R3,R_0805_HandSoldering,1,0.1,Mouser,652-CRL0805FWR100ELF,1
21,R4,R_1206_HandSoldering,1,1.123MEG,Mouser,660-RK73H2BTTD1134F,1
22,"R6,R7",R_0805_HandSoldering,2,100,Mouser,588-AS08J1000ET,2
23,"R11,R12",R_0805_HandSoldering,2,2k,Mouser,660-RK73H2ATTD2001F,2
24,R14,R_0805_HandSoldering,1,1k,Mouser,588-AS08J1001ET,1
25,R17,R_0805_HandSoldering,1,33.2k,Mouser,660-RK73H2ATTD3322F,1
26,U1,PDIP-8,1,MAX1771,Mouser,700-MAX1771CSA,1
27,"U3,U4",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74HC595,Mouser,511-M74HC595YRM13TR,2
28,U5,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,TPS563208,Mouser,595-TPS5410DR,1
29,P1,Pin_Header_Straight_2x12,1,CONN_02X12,Mouser,710-61202421621,1
30,"P4,P5,P6,P7",MountingHole_3.2mm_M3_ISO7380_Pad,4,CONN_01X01,Mouser,NA,0
31,"SW1,SW2,SW3,SW4",FSMRA5JH,4,SW_LPH_PUSH,Mouser,2-1825027-0,3
,,,,,Mouser,FSMRA3JH,1
32,"D2,D3,D5",LED_0603,3,LTST-C190GKT,Mouser,859-LTST-C190GKT,3
33,R5,R_0805_HandSoldering,1,18k,Mouser,652-CR1206FX-1802ELF,1
34,"C14,C15",C_0603_HandSoldering,2,11pF,Mouser,81-GRM185C1H110FA01D,2
35,Y1,ABS25,1,32.768kHz,Mouser,815-ABS25-32.768K6-T,1
36,P3,IDC_Header_Straight_10pins,1,CONN_02X05,Mouser,NA,0
37,BT1,smtu2032-c,1,BATTERY,Mouser,614-SMTU2032-C.TR,1
38,CON1,161-0725-E,1,161-0725-E,Mouser,161-0725-E,1
,NA,NA,,Wall Wart,Ebay,391444968888,1
,,,,,,,
,,,,,,,
,,,,,,,
Tube Shield,,,,,,,
1,"NX2,NX1,NX4,NX3",pl27-1pd,4,IN-8,eBay,NA,4
2,"P5,P4,P3",MountingHole_3.2mm_M3_ISO14580_Pad,3,CONN_01X01,NA,NA,0
3,P2,MountingHole_3.2mm_M3_ISO7380_Pad,1,CONN_01X01,NA,NA,0
4,"R43,R42,R41,R40,R39,R38,R37,R36,R35,R34,R33,R32,R13,R12,R7,R6",R_0805_HandSoldering,16,4.7k,Mouser,ERJ-6GEYJ472V,16
5,"R31,R30",R_0805_HandSoldering,2,24k,Mouser,ERJ-6GEYJ243V,2
6,"R17,R16,R11,R10",R_0805_HandSoldering,4,12k,Mouser,ERJ-6GEYJ123V,4
7,"R15,R14,R9,R8",R_0805_HandSoldering,4,100k,Mouser,AS08J1003ET,4
8,"Q21,Q20,Q19,Q18,Q17,Q16,Q15,Q14,Q13,Q11,Q10,Q7,Q6,Q3,Q2,Q12",SOT-23_Handsoldering,16,MPSA42,Mouser,MMBTA42LT1G,16
9,"Q9,Q8,Q5,Q4",SOT-23_Handsoldering,4,MPSA92,Mouser,MMBTA92LT1G,4
10,P1,Pin_Header_Straight_2x12,1,CONN_02X12,Mouser,710-61202421621,1
11,"N2,N1",neon_ind,2,C2A,eBay,NA,2
,,,,,,,
,,,,,,,
,,,130,,,,
